"analysis_scope","cell_state_short","pathway_score_column","n_samples","spearman_rho","p_value","nonzero_MMP13_samples","FDR"
"All chondrocyte donor-state samples","All_chondrocytes","NFkB_module_score_mean",93,0.185478905358386,0.0750789827534798,NA,0.28767073925769
"Within annotated state","RegC","NFkB_module_score_mean",12,0.0701819725665741,0.828415804422656,5,0.828415804422656
"Within annotated state","EC","NFkB_module_score_mean",12,NA,NA,2,NA
"Within annotated state","RepC","NFkB_module_score_mean",12,-0.0783789457144388,0.808685532490661,6,0.828415804422656
"Within annotated state","PreFC","NFkB_module_score_mean",12,-0.238652662041871,0.455066177975351,3,0.679351460682681
"Within annotated state","FC","NFkB_module_score_mean",12,-0.140363945133148,0.663487857577955,5,0.737208730642172
"Within annotated state","MTC-like","NFkB_module_score_mean",9,NA,NA,0,NA
"Within annotated state","HomC","NFkB_module_score_mean",12,NA,NA,0,NA
"Within annotated state","HTC","NFkB_module_score_mean",12,NA,NA,2,NA
"All chondrocyte donor-state samples","All_chondrocytes","Inflammatory_module_score_mean",93,0.33269970830509,0.00112043980285068,NA,0.0112043980285068
"Within annotated state","RegC","Inflammatory_module_score_mean",12,0.226141911603405,0.479721866599304,5,0.679351460682681
"Within annotated state","EC","Inflammatory_module_score_mean",12,NA,NA,2,NA
"Within annotated state","RepC","Inflammatory_module_score_mean",12,0.179151875918717,0.577448741580279,6,0.679351460682681
"Within annotated state","PreFC","Inflammatory_module_score_mean",12,0.257010559122015,0.420009061702915,3,0.679351460682681
"Within annotated state","FC","Inflammatory_module_score_mean",12,0.179353929892356,0.57701239335652,5,0.679351460682681
"Within annotated state","MTC-like","Inflammatory_module_score_mean",9,NA,NA,0,NA
"Within annotated state","HomC","Inflammatory_module_score_mean",12,NA,NA,0,NA
"Within annotated state","HTC","Inflammatory_module_score_mean",12,NA,NA,2,NA
"All chondrocyte donor-state samples","All_chondrocytes","p38_MAPK_module_score_mean",93,0.0595935941273625,0.570420826071285,NA,0.679351460682681
"Within annotated state","RegC","p38_MAPK_module_score_mean",12,-0.280727890266296,0.376780838819946,5,0.679351460682681
"Within annotated state","EC","p38_MAPK_module_score_mean",12,NA,NA,2,NA
"Within annotated state","RepC","p38_MAPK_module_score_mean",12,-0.496399989524779,0.100684758740192,6,0.28767073925769
"Within annotated state","PreFC","p38_MAPK_module_score_mean",12,-0.339621095982662,0.280122650404439,3,0.560245300808877
"Within annotated state","FC","p38_MAPK_module_score_mean",12,-0.436687829303128,0.155788242324284,5,0.38947060581071
"Within annotated state","MTC-like","p38_MAPK_module_score_mean",9,NA,NA,0,NA
"Within annotated state","HomC","p38_MAPK_module_score_mean",12,NA,NA,0,NA
"Within annotated state","HTC","p38_MAPK_module_score_mean",12,NA,NA,2,NA
"All chondrocyte donor-state samples","All_chondrocytes","ECM_degradation_module_score_mean",93,0.386944654232262,0.00012738194328149,NA,0.0025476388656298
"Within annotated state","RegC","ECM_degradation_module_score_mean",12,0.49907180491786,0.0985791489665405,5,0.28767073925769
"Within annotated state","EC","ECM_degradation_module_score_mean",12,NA,NA,2,NA
"Within annotated state","RepC","ECM_degradation_module_score_mean",12,0.373233074830661,0.232088762223594,6,0.515752804941321
"Within annotated state","PreFC","ECM_degradation_module_score_mean",12,0.559915860944389,0.0583292853985021,3,0.28767073925769
"Within annotated state","FC","ECM_degradation_module_score_mean",12,0.717415719569424,0.0086241861340024,5,0.0574945742266827
"Within annotated state","MTC-like","ECM_degradation_module_score_mean",9,NA,NA,0,NA
"Within annotated state","HomC","ECM_degradation_module_score_mean",12,NA,NA,0,NA
"Within annotated state","HTC","ECM_degradation_module_score_mean",12,NA,NA,2,NA
