"sample_label","donor","geo_accession","group","cell_state_short","cell_state","n_cells","total_RNA_UMI","MMP13_total_UMI","MMP13_positive_cells","MMP13_detection_percent","NFkB_module_score_mean","NFkB_module_score_median","Inflammatory_module_score_mean","Inflammatory_module_score_median","p38_MAPK_module_score_mean","p38_MAPK_module_score_median","ECM_degradation_module_score_mean","ECM_degradation_module_score_median","MMP13_CPM","log2_MMP13_CPM","reliable_state_sample"
"Normal1","Normal_Donor1","GSM6797148","Normal","RegC","Regulatory chondrocytes",1271,15062452,0,0,0,0.199608850532252,0.1961992161485,-0.000505813835299724,-0.00176366080352244,0.196823245714032,0.194863577528455,0.0408757951749422,0.0375754589929965,0,0,TRUE
"Normal1","Normal_Donor1","GSM6797148","Normal","EC","Effector chondrocytes",790,11325332,0,0,0,0.192361839302239,0.19356961810588,-0.0115041858066815,-0.0130159003091189,0.163992759448767,0.165128990725565,0.0662671470723173,0.0592476253949465,0,0,TRUE
"Normal1","Normal_Donor1","GSM6797148","Normal","RepC","Reparative chondrocytes",536,8896066,0,0,0,0.282245178645964,0.282953093221342,0.0226809010633173,0.0219419723859101,0.204904843960549,0.202791448445484,0.0629070227059822,0.0576462999077347,0,0,TRUE
"Normal1","Normal_Donor1","GSM6797148","Normal","PreFC","Pre-fibrocartilage chondrocytes",468,5585301,0,0,0,0.175089697859038,0.173811196670271,0.00454789736346947,-0.00052199410601636,0.194183146613268,0.191722473954289,0.0431741280751454,0.0365490903177908,0,0,TRUE
"Normal1","Normal_Donor1","GSM6797148","Normal","FC","Fibrocartilage chondrocytes",764,8320875,0,0,0,0.173530146276631,0.172189601455333,-0.00556494415160092,-0.00499688658151476,0.210422494803398,0.209616216122866,0.0392687394665675,0.0370798384501214,0,0,TRUE
"Normal1","Normal_Donor1","GSM6797148","Normal","MTC-like","Metallothionein/stress chondrocytes",3109,36523021,0,0,0,0.16461312093394,0.162193268983851,-0.00124608355479378,-0.00685205752452867,0.173685243981402,0.172365980530775,0.03422687258112,0.0300951084124377,0,0,TRUE
"Normal1","Normal_Donor1","GSM6797148","Normal","HomC","Homeostatic chondrocytes",1264,2585778,0,0,0,0.167172181801438,0.166039631869077,0.00115418041908336,-0.000358575719485235,0.116792510790066,0.114200317011193,0.129513438795635,0.131195395673562,0,0,TRUE
"Normal1","Normal_Donor1","GSM6797148","Normal","HTC","Hypertrophic chondrocytes",190,3223832,0,0,0,0.190707462357711,0.194353744229111,-0.00714639914047137,-0.0108768254648181,0.158116538770393,0.161313951395393,0.0923900969137873,0.0869357830526162,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","RegC","Regulatory chondrocytes",2095,20096624,0,0,0,0.158424644058345,0.15593399533943,0.00114322372499123,-0.000338285371354052,0.204872238966938,0.203728937819584,0.109224416510089,0.108547662379263,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","EC","Effector chondrocytes",1303,13422443,0,0,0,0.143300208093571,0.142427434912641,-0.00606870702235136,-0.00682440470411491,0.188626628195797,0.18600842355545,0.0757249262329579,0.0732190074169944,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","RepC","Reparative chondrocytes",1454,20428816,0,0,0,0.195050846781174,0.190226507898776,0.0258732772773927,0.023050089527557,0.193062030509045,0.193108400262633,0.0931889905477761,0.0918087750283463,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","PreFC","Pre-fibrocartilage chondrocytes",409,4169496,0,0,0,0.12447920751806,0.127423719164642,-7.36268903588161e-05,-0.00128965008052692,0.193113582060544,0.190951674952077,0.0807688945009379,0.0770717022079539,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","FC","Fibrocartilage chondrocytes",980,12443747,0,0,0,0.141300163289425,0.140537850065982,0.00718845177909427,0.00674063786415324,0.203955653048239,0.20578837692382,0.107071650788625,0.10779207699678,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","MTC-like","Metallothionein/stress chondrocytes",222,2405991,0,0,0,0.208098580166616,0.200409752861149,0.0154391911018698,0.0133569079897706,0.173610232259469,0.170255702225407,0.056096331983467,0.0526884997086056,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","HomC","Homeostatic chondrocytes",233,832211,0,0,0,0.0858295949679663,0.0739709109969767,-0.00779000467039988,-0.0145230800276497,0.15183436324619,0.15330487371997,0.135124027796329,0.123873421466505,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","HTC","Hypertrophic chondrocytes",67,980265,0,0,0,0.21649231313598,0.228051413764517,0.0117093329313963,0.0118304883202086,0.178778106631191,0.177188438756848,0.0717793488614522,0.0677809201792877,0,0,TRUE
"Normal2","Normal_Donor2","GSM6797149","Normal","Vascular/immune","Vascular/immune cells",1,4280,0,0,0,0.283253300957254,0.283253300957254,-0.0289189989790109,-0.0289189989790109,0.296745683568438,0.296745683568438,0.0872968026411876,0.0872968026411876,0,0,FALSE
