"cell_state_short","score_column","pathway","n_donors","nonzero_MMP13_donors","spearman_rho","p_value","FDR","significance_label"
"RegC","NFkB_module_score_mean","NF-κB",12,5,0.0701819725665741,0.828415804422656,0.828415804422656,""
"RegC","Inflammatory_module_score_mean","Inflammatory response",12,5,0.226141911603405,0.479721866599304,0.697777260508078,""
"RegC","p38_MAPK_module_score_mean","p38 MAPK",12,5,-0.280727890266296,0.376780838819946,0.697777260508078,""
"RegC","ECM_degradation_module_score_mean","ECM degradation",12,5,0.49907180491786,0.0985791489665405,0.402739034960766,""
"EC","NFkB_module_score_mean","NF-κB",12,2,NA,NA,NA,""
"EC","Inflammatory_module_score_mean","Inflammatory response",12,2,NA,NA,NA,""
"EC","p38_MAPK_module_score_mean","p38 MAPK",12,2,NA,NA,NA,""
"EC","ECM_degradation_module_score_mean","ECM degradation",12,2,NA,NA,NA,""
"RepC","NFkB_module_score_mean","NF-κB",12,6,-0.0783789457144388,0.808685532490661,0.828415804422656,""
"RepC","Inflammatory_module_score_mean","Inflammatory response",12,6,0.179151875918717,0.577448741580279,0.71070614348342,""
"RepC","p38_MAPK_module_score_mean","p38 MAPK",12,6,-0.496399989524779,0.100684758740192,0.402739034960766,""
"RepC","ECM_degradation_module_score_mean","ECM degradation",12,6,0.373233074830661,0.232088762223594,0.618903365929585,""
"PreFC","NFkB_module_score_mean","NF-κB",12,3,-0.238652662041871,0.455066177975351,0.697777260508078,""
"PreFC","Inflammatory_module_score_mean","Inflammatory response",12,3,0.257010559122015,0.420009061702915,0.697777260508078,""
"PreFC","p38_MAPK_module_score_mean","p38 MAPK",12,3,-0.339621095982662,0.280122650404439,0.640280343781574,""
"PreFC","ECM_degradation_module_score_mean","ECM degradation",12,3,0.559915860944389,0.0583292853985021,0.402739034960766,""
"FC","NFkB_module_score_mean","NF-κB",12,5,-0.140363945133148,0.663487857577955,0.758271837231948,""
"FC","Inflammatory_module_score_mean","Inflammatory response",12,5,0.179353929892356,0.57701239335652,0.71070614348342,""
"FC","p38_MAPK_module_score_mean","p38 MAPK",12,5,-0.436687829303128,0.155788242324284,0.498522375437709,""
"FC","ECM_degradation_module_score_mean","ECM degradation",12,5,0.717415719569424,0.0086241861340024,0.137986978144038,"*"
"MTC-like","NFkB_module_score_mean","NF-κB",9,0,NA,NA,NA,""
"MTC-like","Inflammatory_module_score_mean","Inflammatory response",9,0,NA,NA,NA,""
"MTC-like","p38_MAPK_module_score_mean","p38 MAPK",9,0,NA,NA,NA,""
"MTC-like","ECM_degradation_module_score_mean","ECM degradation",9,0,NA,NA,NA,""
"HomC","NFkB_module_score_mean","NF-κB",12,0,NA,NA,NA,""
"HomC","Inflammatory_module_score_mean","Inflammatory response",12,0,NA,NA,NA,""
"HomC","p38_MAPK_module_score_mean","p38 MAPK",12,0,NA,NA,NA,""
"HomC","ECM_degradation_module_score_mean","ECM degradation",12,0,NA,NA,NA,""
"HTC","NFkB_module_score_mean","NF-κB",12,2,NA,NA,NA,""
"HTC","Inflammatory_module_score_mean","Inflammatory response",12,2,NA,NA,NA,""
"HTC","p38_MAPK_module_score_mean","p38 MAPK",12,2,NA,NA,NA,""
"HTC","ECM_degradation_module_score_mean","ECM degradation",12,2,NA,NA,NA,""
