"sample_label","donor","geo_accession","group","chondrocyte_cells","total_RNA_UMI","MMP13_total_UMI","MMP13_positive_cells","NFkB_module_score","Inflammatory_module_score","p38_MAPK_module_score","ECM_degradation_module_score","represented_states","MMP13_CPM","log2_MMP13_CPM"
"Normal1","Normal_Donor1","GSM6797148","Normal",8392,91522657,0,0,0.182411031555228,-0.000413541483144388,0.173837156794318,0.0567087234059245,8,0,0
"Normal2","Normal_Donor2","GSM6797149","Normal",6763,74779593,0,0,0.15855553052952,0.00613910950809299,0.195247232874065,0.0960672364188932,8,0,0
"Normal3","Normal_Donor3","GSM6797150","Normal",3678,61566480,0,0,0.184169644712949,-0.0066403823915679,0.20396451202483,0.0521604037438686,8,0,0
"Normal4","Normal_Donor4","GSM6797151","Normal",5873,31612720,7,5,0.236197997183748,0.00508004418131233,0.182037947582973,0.0718734739403055,8,0.221429854817934,0.288571013820402
"Normal5","Normal_Donor5","GSM6797152","Normal",5747,47889030,29,17,0.222578314397046,0.00585089605116326,0.165067408850065,0.0984190257685814,8,0.605566661091277,0.683082565175371
"Normal6","Normal_Donor6","GSM6797153","Normal",6367,76291027,0,0,0.177380705872527,-0.0105509204073432,0.175729016254259,0.0212250412849709,8,0,0
"OA1","OA_Donor1","GSM6797154","OA",4327,63880165,0,0,0.120964985278633,-0.0111070335136057,0.160553466808234,0.178089507397482,7,0,0
"OA2","OA_Donor2","GSM6797155","OA",4285,55457289,64,8,0.285711467364406,0.0323908550989633,0.185599247843277,0.151107035296011,7,1.15404126588301,1.10704588846825
"OA3","OA_Donor3","GSM6797156","OA",6452,67628970,67,15,0.139646060465381,-0.000274875763039302,0.17034863526233,0.187716294151903,8,0.990699695707328,0.993275601675877
"OA4","OA_Donor4","GSM6797157","OA",5369,31770334,43,10,0.17962215892447,0.00227000669836793,0.168120840427686,0.15890889538663,7,1.35346389496566,1.23478572047839
"OA5","OA_Donor5","GSM6797158","OA",4511,51228944,12,5,0.0894905206884885,-0.020477156204732,0.149479361721945,0.141084918637304,8,0.23424257974164,0.303625971631881
"OA6","OA_Donor6","GSM6797159","OA",4955,59749845,0,0,0.200389736560818,-0.000900534675425809,0.168144589386845,0.0911391492585076,8,0,0
