"omitted_donor","LODO_rho","pathway","score_column"
"Normal1",0.228831021418942,"NF-κB","NFkB_module_score"
"Normal2",0.152554014279295,"NF-κB","NFkB_module_score"
"Normal3",0.228831021418942,"NF-κB","NFkB_module_score"
"Normal4",0.163574927041881,"NF-κB","NFkB_module_score"
"Normal5",0.0743522395644915,"NF-κB","NFkB_module_score"
"Normal6",0.152554014279295,"NF-κB","NFkB_module_score"
"OA1",0.0953462589245592,"NF-κB","NFkB_module_score"
"OA2",-0.0247840798548305,"NF-κB","NFkB_module_score"
"OA3",0.327149854083762,"NF-κB","NFkB_module_score"
"OA4",0.257754430490237,"NF-κB","NFkB_module_score"
"OA5",0.302365774228932,"NF-κB","NFkB_module_score"
"OA6",0.228831021418942,"NF-κB","NFkB_module_score"
"Normal1",-0.228831021418942,"p38 MAPK","p38_MAPK_module_score"
"Normal2",-0.133484762494383,"p38 MAPK","p38_MAPK_module_score"
"Normal3",-0.133484762494383,"p38 MAPK","p38_MAPK_module_score"
"Normal4",-0.262711246461203,"p38 MAPK","p38_MAPK_module_score"
"Normal5",-0.237927166606373,"p38 MAPK","p38_MAPK_module_score"
"Normal6",-0.228831021418942,"p38 MAPK","p38_MAPK_module_score"
"OA1",-0.409988913375605,"p38 MAPK","p38_MAPK_module_score"
"OA2",-0.43124298947405,"p38 MAPK","p38_MAPK_module_score"
"OA3",-0.272624878403135,"p38 MAPK","p38_MAPK_module_score"
"OA4",-0.158618111070915,"p38 MAPK","p38_MAPK_module_score"
"OA5",-0.193315822867678,"p38 MAPK","p38_MAPK_module_score"
"OA6",-0.286038776773678,"p38 MAPK","p38_MAPK_module_score"
"Normal1",0.419523539268061,"Inflammatory response","Inflammatory_module_score"
"Normal2",0.629285308902091,"Inflammatory response","Inflammatory_module_score"
"Normal3",0.419523539268061,"Inflammatory response","Inflammatory_module_score"
"Normal4",0.485767965154678,"Inflammatory response","Inflammatory_module_score"
"Normal5",0.40645890961922,"Inflammatory response","Inflammatory_module_score"
"Normal6",0.419523539268061,"Inflammatory response","Inflammatory_module_score"
"OA1",0.419523539268061,"Inflammatory response","Inflammatory_module_score"
"OA2",0.312279406170864,"Inflammatory response","Inflammatory_module_score"
"OA3",0.40645890961922,"Inflammatory response","Inflammatory_module_score"
"OA4",0.446113437386949,"Inflammatory response","Inflammatory_module_score"
"OA5",0.599774732486898,"Inflammatory response","Inflammatory_module_score"
"OA6",0.419523539268061,"Inflammatory response","Inflammatory_module_score"
"Normal1",0.600681431224723,"ECM degradation","ECM_degradation_module_score"
"Normal2",0.629285308902091,"ECM degradation","ECM_degradation_module_score"
"Normal3",0.600681431224723,"ECM degradation","ECM_degradation_module_score"
"Normal4",0.659256524138491,"ECM degradation","ECM_degradation_module_score"
"Normal5",0.599774732486898,"ECM degradation","ECM_degradation_module_score"
"Normal6",0.600681431224723,"ECM degradation","ECM_degradation_module_score"
"OA1",0.858116330321033,"ECM degradation","ECM_degradation_module_score"
"OA2",0.619601996370762,"ECM degradation","ECM_degradation_module_score"
"OA3",0.565077020690135,"ECM degradation","ECM_degradation_module_score"
"OA4",0.619601996370762,"ECM degradation","ECM_degradation_module_score"
"OA5",0.599774732486898,"ECM degradation","ECM_degradation_module_score"
"OA6",0.629285308902091,"ECM degradation","ECM_degradation_module_score"
